
œ–Œ¬≈– ¿ Õ¿ —”œ≈–¿ƒƒ»“»¬ÕŒ—“‹

+-----------+------+-----------+------+-----------+--------+--------+
| S         | v(S) | T         | v(T) | v(S)+v(T) | v(S?T) | —Ú‡ÚÛÒ |
+-----------+------+-----------+------+-----------+--------+--------+
| {1}       | 4    | {2}       | 1    | 5         | 6      | +      |
| {1}       | 4    | {3}       | 3    | 7         | 8      | +      |
| {1}       | 4    | {2, 3}    | 5    | 9         | 9      | +      |
| {1}       | 4    | {4}       | 1    | 5         | 6      | +      |
| {1}       | 4    | {2, 4}    | 3    | 7         | 8      | +      |
| {1}       | 4    | {3, 4}    | 5    | 9         | 10     | +      |
| {1}       | 4    | {2, 3, 4} | 7    | 11        | 11     | +      |
| {2}       | 1    | {1}       | 4    | 5         | 6      | +      |
| {2}       | 1    | {3}       | 3    | 4         | 5      | +      |
| {2}       | 1    | {1, 3}    | 8    | 9         | 9      | +      |
| {2}       | 1    | {4}       | 1    | 2         | 3      | +      |
| {2}       | 1    | {1, 4}    | 6    | 7         | 8      | +      |
| {2}       | 1    | {3, 4}    | 5    | 6         | 7      | +      |
| {2}       | 1    | {1, 3, 4} | 10   | 11        | 11     | +      |
| {1, 2}    | 6    | {3}       | 3    | 9         | 9      | +      |
| {1, 2}    | 6    | {4}       | 1    | 7         | 8      | +      |
| {1, 2}    | 6    | {3, 4}    | 5    | 11        | 11     | +      |
| {3}       | 3    | {1}       | 4    | 7         | 8      | +      |
| {3}       | 3    | {2}       | 1    | 4         | 5      | +      |
| {3}       | 3    | {1, 2}    | 6    | 9         | 9      | +      |
| {3}       | 3    | {4}       | 1    | 4         | 5      | +      |
| {3}       | 3    | {1, 4}    | 6    | 9         | 10     | +      |
| {3}       | 3    | {2, 4}    | 3    | 6         | 7      | +      |
| {3}       | 3    | {1, 2, 4} | 8    | 11        | 11     | +      |
| {1, 3}    | 8    | {2}       | 1    | 9         | 9      | +      |
| {1, 3}    | 8    | {4}       | 1    | 9         | 10     | +      |
| {1, 3}    | 8    | {2, 4}    | 3    | 11        | 11     | +      |
| {2, 3}    | 5    | {1}       | 4    | 9         | 9      | +      |
| {2, 3}    | 5    | {4}       | 1    | 6         | 7      | +      |
| {2, 3}    | 5    | {1, 4}    | 6    | 11        | 11     | +      |
| {1, 2, 3} | 9    | {4}       | 1    | 10        | 11     | +      |
| {4}       | 1    | {1}       | 4    | 5         | 6      | +      |
| {4}       | 1    | {2}       | 1    | 2         | 3      | +      |
| {4}       | 1    | {1, 2}    | 6    | 7         | 8      | +      |
| {4}       | 1    | {3}       | 3    | 4         | 5      | +      |
| {4}       | 1    | {1, 3}    | 8    | 9         | 10     | +      |
| {4}       | 1    | {2, 3}    | 5    | 6         | 7      | +      |
| {4}       | 1    | {1, 2, 3} | 9    | 10        | 11     | +      |
| {1, 4}    | 6    | {2}       | 1    | 7         | 8      | +      |
| {1, 4}    | 6    | {3}       | 3    | 9         | 10     | +      |
| {1, 4}    | 6    | {2, 3}    | 5    | 11        | 11     | +      |
| {2, 4}    | 3    | {1}       | 4    | 7         | 8      | +      |
| {2, 4}    | 3    | {3}       | 3    | 6         | 7      | +      |
| {2, 4}    | 3    | {1, 3}    | 8    | 11        | 11     | +      |
| {1, 2, 4} | 8    | {3}       | 3    | 11        | 11     | +      |
| {3, 4}    | 5    | {1}       | 4    | 9         | 10     | +      |
| {3, 4}    | 5    | {2}       | 1    | 6         | 7      | +      |
| {3, 4}    | 5    | {1, 2}    | 6    | 11        | 11     | +      |
| {1, 3, 4} | 10   | {2}       | 1    | 11        | 11     | +      |
| {2, 3, 4} | 7    | {1}       | 4    | 11        | 11     | +      |
+-----------+------+-----------+------+-----------+--------+--------+

»„‡ ÒÛÔÂ‡‰‰ËÚË‚Ì‡



œ–Œ¬≈– ¿ Õ¿ ¬€œ” ÀŒ—“‹

+--------------+------+--------------+------+--------+--------+-----------+---------------+--------+
| S            | v(S) | T            | v(T) | v(S?T) | v(S?T) | v(S)+v(T) | v(S?T)+v(S?T) | —Ú‡ÚÛÒ |
+--------------+------+--------------+------+--------+--------+-----------+---------------+--------+
| {1}          | 4    | {1}          | 4    | 4      | 4      | 8         | 8             | +      |
| {1}          | 4    | {2}          | 1    | 0      | 6      | 5         | 6             | +      |
| {1}          | 4    | {1, 2}       | 6    | 4      | 6      | 10        | 10            | +      |
| {1}          | 4    | {3}          | 3    | 0      | 8      | 7         | 8             | +      |
| {1}          | 4    | {1, 3}       | 8    | 4      | 8      | 12        | 12            | +      |
| {1}          | 4    | {2, 3}       | 5    | 0      | 9      | 9         | 9             | +      |
| {1}          | 4    | {1, 2, 3}    | 9    | 4      | 9      | 13        | 13            | +      |
| {1}          | 4    | {4}          | 1    | 0      | 6      | 5         | 6             | +      |
| {1}          | 4    | {1, 4}       | 6    | 4      | 6      | 10        | 10            | +      |
| {1}          | 4    | {2, 4}       | 3    | 0      | 8      | 7         | 8             | +      |
| {1}          | 4    | {1, 2, 4}    | 8    | 4      | 8      | 12        | 12            | +      |
| {1}          | 4    | {3, 4}       | 5    | 0      | 10     | 9         | 10            | +      |
| {1}          | 4    | {1, 3, 4}    | 10   | 4      | 10     | 14        | 14            | +      |
| {1}          | 4    | {2, 3, 4}    | 7    | 0      | 11     | 11        | 11            | +      |
| {1}          | 4    | {1, 2, 3, 4} | 11   | 4      | 11     | 15        | 15            | +      |
| {2}          | 1    | {1}          | 4    | 0      | 6      | 5         | 6             | +      |
| {2}          | 1    | {2}          | 1    | 1      | 1      | 2         | 2             | +      |
| {2}          | 1    | {1, 2}       | 6    | 1      | 6      | 7         | 7             | +      |
| {2}          | 1    | {3}          | 3    | 0      | 5      | 4         | 5             | +      |
| {2}          | 1    | {1, 3}       | 8    | 0      | 9      | 9         | 9             | +      |
| {2}          | 1    | {2, 3}       | 5    | 1      | 5      | 6         | 6             | +      |
| {2}          | 1    | {1, 2, 3}    | 9    | 1      | 9      | 10        | 10            | +      |
| {2}          | 1    | {4}          | 1    | 0      | 3      | 2         | 3             | +      |
| {2}          | 1    | {1, 4}       | 6    | 0      | 8      | 7         | 8             | +      |
| {2}          | 1    | {2, 4}       | 3    | 1      | 3      | 4         | 4             | +      |
| {2}          | 1    | {1, 2, 4}    | 8    | 1      | 8      | 9         | 9             | +      |
| {2}          | 1    | {3, 4}       | 5    | 0      | 7      | 6         | 7             | +      |
| {2}          | 1    | {1, 3, 4}    | 10   | 0      | 11     | 11        | 11            | +      |
| {2}          | 1    | {2, 3, 4}    | 7    | 1      | 7      | 8         | 8             | +      |
| {2}          | 1    | {1, 2, 3, 4} | 11   | 1      | 11     | 12        | 12            | +      |
| {1, 2}       | 6    | {1}          | 4    | 4      | 6      | 10        | 10            | +      |
| {1, 2}       | 6    | {2}          | 1    | 1      | 6      | 7         | 7             | +      |
| {1, 2}       | 6    | {1, 2}       | 6    | 6      | 6      | 12        | 12            | +      |
| {1, 2}       | 6    | {3}          | 3    | 0      | 9      | 9         | 9             | +      |
| {1, 2}       | 6    | {1, 3}       | 8    | 4      | 9      | 14        | 13            | -      |
| {1, 2}       | 6    | {2, 3}       | 5    | 1      | 9      | 11        | 10            | -      |
| {1, 2}       | 6    | {1, 2, 3}    | 9    | 6      | 9      | 15        | 15            | +      |
| {1, 2}       | 6    | {4}          | 1    | 0      | 8      | 7         | 8             | +      |
| {1, 2}       | 6    | {1, 4}       | 6    | 4      | 8      | 12        | 12            | +      |
| {1, 2}       | 6    | {2, 4}       | 3    | 1      | 8      | 9         | 9             | +      |
| {1, 2}       | 6    | {1, 2, 4}    | 8    | 6      | 8      | 14        | 14            | +      |
| {1, 2}       | 6    | {3, 4}       | 5    | 0      | 11     | 11        | 11            | +      |
| {1, 2}       | 6    | {1, 3, 4}    | 10   | 4      | 11     | 16        | 15            | -      |
| {1, 2}       | 6    | {2, 3, 4}    | 7    | 1      | 11     | 13        | 12            | -      |
| {1, 2}       | 6    | {1, 2, 3, 4} | 11   | 6      | 11     | 17        | 17            | +      |
| {3}          | 3    | {1}          | 4    | 0      | 8      | 7         | 8             | +      |
